dataset,task,model,seed,seconds_fit_and_evaluate,best_epoch,epochs_ran,parameters,peak_rss_kib_process,val_macro_f1,val_weighted_f1,val_accuracy,test_macro_f1,test_weighted_f1,test_accuracy
NF-CSE-CIC-IDS2018-v2,multiclass,edge_mlp,33,22.53655487099968,14,24,6023,1560740,0.7657869881864802,0.8810972890830525,0.8821904127829561,0.7620091341317613,0.879257121439603,0.8808687692435716
NF-CSE-CIC-IDS2018-v2,multiclass,sage,11,61.51523102600186,15,25,87815,1560740,0.8192223846825373,0.8953417791603979,0.8992343541944074,0.8330344647584712,0.8952706832600684,0.8993093118082716
NF-CSE-CIC-IDS2018-v2,multiclass,sage,22,153.51732006900056,45,55,87815,1560740,0.8207835611346298,0.899548090536353,0.900965379494008,0.8338115009495443,0.9016787625322424,0.9031705084463676
NF-CSE-CIC-IDS2018-v2,multiclass,sage,33,58.61773787600032,19,29,87815,1560740,0.8180245545347589,0.8954326203945763,0.8999334221038615,0.8323904283165565,0.8947409802836112,0.8992926687193143
NF-CSE-CIC-IDS2018-v2,multiclass,sage_edge,11,86.8962415850001,23,33,88088,1560740,0.8245474334772279,0.899123456933397,0.9040945406125166,0.8379883997725888,0.8983096615723938,0.9034700840475992
NF-CSE-CIC-IDS2018-v2,multiclass,sage_edge,22,61.07448347699756,12,22,88088,1560740,0.8205807176672628,0.8960282541517255,0.9003328894806925,0.8339118037505309,0.8945959255612747,0.8989265207622534
NF-CSE-CIC-IDS2018-v2,multiclass,sage_edge,33,88.16068151500076,19,29,88088,1560740,0.822192791285681,0.8974061593985411,0.9021304926764314,0.8347345775746191,0.8957275946283864,0.9003911125904968
NF-CSE-CIC-IDS2018-v2,binary,edge_mlp,11,57.57546217900017,54,60,5378,1560740,0.8230855582679122,0.8874473415188279,0.8756990679094541,0.8234001537961435,0.8877350061089568,0.8760589165349089
NF-CSE-CIC-IDS2018-v2,binary,edge_mlp,22,57.22785344500153,60,60,5378,1560740,0.8225704496989061,0.8870762875944764,0.8752663115845539,0.8228537996534735,0.8873168790324545,0.8755596238661896
NF-CSE-CIC-IDS2018-v2,binary,edge_mlp,33,41.54517041100189,34,44,5378,1560740,0.8209938451469242,0.8859973394103611,0.874034620505992,0.8216087008263628,0.8864694084927017,0.8745943247066655
NF-CSE-CIC-IDS2018-v2,binary,sage,11,142.3792603269976,36,46,86530,1560740,0.8410609618894471,0.9006798404754515,0.8913115845539281,0.8480394951132482,0.9054837472225356,0.8968294915536323
NF-CSE-CIC-IDS2018-v2,binary,sage,22,123.96565120599917,43,53,86530,1560740,0.8429330566504641,0.9019787603694068,0.892809587217044,0.8501166886234217,0.9069055249585866,0.8984605142714488
NF-CSE-CIC-IDS2018-v2,binary,sage,33,95.89907956200112,30,40,86530,1560740,0.8401214781087829,0.9002170291196366,0.890878828229028,0.8470221529410294,0.9049342106327148,0.8962802696180411
